intent,response
Q209,What are the development works that are exempted from planning permission?
Q210,(CPD) What are the eligibility criteria to transfer a Season Parking Ticket (SPT) permanently to another v
Q211,
Q212,(SPT) What are the eligibility criteria to transfer a Season Parking Ticket (SPT) to another vehicle?
Q213,What are the fees for a change of use application?
Q214,(Court) What are the penalties if convicted by the Court?
Q215,What are the plans for improving the quality of the living environment?
Q216,What are the processing fees for development applications?
Q217,What are the requirements for a sale licence?
Q218,What are the requirements for foreign developers who intend to purchase vacant residential land in Singapore?
Q219,What are the Singapore City Gallery's opening hours?
Q220,What are the submission requirements for a change of use application?
Q221,(Common Offences) What are the types of parking offences and composition amount?
Q222,What are URA's operating hours?
Q223,What are URA's service standards?
Q224,What can I use the Private Residential Property Transactions e-Service for?
Q225,What do I need to do upon payment of all my outstanding Warrant of Arrest?
Q226,What do I need to know when renovating a landed residential property?
Q227,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?"
Q228,
Q229,"What does ""Subject to Detailed Planning"" mean?"
Q230,What does Gross Floor Area (GFA) mean?
Q231,What does strata area refer to?
Q232,(DPS) What happens if I forgot to extend my parking session on the Parking.sg app?
Q233,What happens to my parking session when my phone runs out of battery?
Q234,"What is a ""change of use"" of premises?"
Q235,(WA) What is a cash bail?
Q236,What is a caveat?
Q237,What is a Home-Based Business?
Q238,What is a Temporary Written Permission?
Q239,What is considered an acceptable minimum price?
Q240,What is CUBE Workshop?
Q241,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
Q242,What is the change of use lodgment scheme?
Q243,What is the difference between a condominium and an apartment?
Q244,
Q245,(SPT) What is the difference between reserved parking lots and Season Parking Tickets for heavy vehicles?
Q246,What is the difference between sites that are zoned Business 1 and Business 2?
Q247,What is the difference between the Home Office Scheme and the Home-Based Business Guidelines?
Q248,What is the distribution of land uses in Singapore?
Q249,What is the Extension Premium Scheme for government sale sites?
Q250,What is the Government Land Sales (GLS) Programme?
Q251,
Q252,What is the long term planning strategy for Singapore's physical development?
Q253,(CPD) What is your vehicle type? Click Motorcar or motorcycle
Q254,What should I do before putting up a new sign on a conserved shophouse?
Q255,(PON) What should I do if I am issued a Notice for a Tampered Coupon offence?
Q256,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
Q257,(PON) What should I do if I wish to return unused / wrongly torn coupons?
Q258,(UPL) What should I do if other vehicles are occupying the parking lots I have applied to use?
Q259,(Court) What will happen if I cannot attend Court?
Q260,When can developers start to apply for the Reserve List sites?
Q261,When do I have to apply for change of use?
Q262,(Payment) When do I need to make payment for the notice of parking offence?
Q263,
Q264,When is a conserved building 'restored'?
Q265,When is Car-Free Sunday SG?
Q266,"(DPS) When using the Parking.sg app, why is the ""Next Step"" button greyed out even though I have entered all information?"
Q267,Where are the Development Control (DC) forms?
Q268,Where can I find information on completed projects?
Q269,Where can I find information on Singapore Property market?
Q270,(STPC) Where can I find information on URA car park locations and parking charges?
Q271,Where can I find information on use groups?
Q272,Where can I find information on vacant sites that have been sold by URA?
Q273,"Where can I find more detailed, or a longer, data series?"
Q274,Where can I find plans on conserved buildings?
Q275,Where can I find tender documents for sites made available in the Reserve List?
Q276,"Where can I find the development charge sector, maps and rates?"
Q277,Where can I find the latest URA circulars?
Q278,Where can I find the list of Government Land Sales (GLS) sites by URA?
Q279,Where can I find the news releases concerning Government Land Sales (GLS) sites?
Q280,
Q281,Where can I find transaction prices of individual units?
Q282,Where can I get information on events held at Marina Bay?
Q283,(Others) Where can I purchase parking coupons?
Q284,Where can I see the plans for my neighbourhood?
Q285,Where do I collect the masks?
Q286,Where is the Singapore City Gallery? How do I get there?
Q287,(VPC) Which types of heavy vehicles come under the Vehicle Parking Certificate Scheme (VPC)?
Q288,Who can I speak to at URA?
Q289,Who should apply for the change of use?
Q290,Why am I getting billed for the entire parking duration which I originally selected even though I ended my session early?
Q291,"Why am I not receiving any sound notifications from my Parking.sg app, even though my phone is not in silent mode?"
Q292,Why am I receiving a SMS notification a few days after my parking sessions?
Q293,"Why are there no results for my search on ""Private Residential Projects in the Pipeline""?"
Q294,
Q295,Why do I need to select a parking duration on the Parking.sg app? Why can’t the app make use of a start/stop button?
Q296,
Q297,Why is the application for the reserve list system deposit determined at 3% of the minimum price?
Q298,Why is there a need to control developments?
Q299,Why is there no one-time password (OTP) activated for login since it involves monetary transactions?
Q300,(SPT) Will I be informed if my Season Parking Ticket (SPT) renewal through GIRO deduction is unsuccessful?
Q301,Will the details of my bid be made known to other developers?
Q302,Will the Government allow an applicant to withdraw his application if the market conditions turn bad?
Q303,(UPL) Will your parking staff know that I have approval to use the parking lots?
