intent,phrase
Q17,Can I cancel my application If my container does not arrive on the scheduled date(s)?
Q18,Can I change the use of my conserved building without restoring it?
Q19,Can I check my Parking.sg parking history and export my parking transactions?
Q19,Can I check my Parkingsg parking history and export my parking transactions
Q19,carpark receipt
Q19,Driving history
Q19,how to print parking sg statement
Q19,how to print parking statement
Q19,How to print the Car park receipt
Q19,how to retrieve my URA parking invoice
Q20,Can I check the status of my season parking termination application?
Q20,how to check if i still have recurring payment for season parking
Q21,Are partition wall allow
Q21,are we allow to build partion
Q21,Building a partition room in a residential unit
Q21,can i create partition within private residential
Q21,can i make partition in my unit and rent them out
Q21,Can I partition bedrooms and sublet
Q21,can I partition my living room to a bedroom condo
Q21,Can i partition my unit
Q21,Can i partition rooms
Q21,Guideline for partitioning the internal of a unit
Q21,how to get approval for internal partitioning works
Q21,how to lodge a query on illegal partition for e condo unit
Q21,I stay in condo and wanted to partition my unit for more bed room Do I need approval from URA
Q21,I stayed at a condo in Park Oasis Can I partition my unit for more bed room and do I need approval for such renovation work Please advise
Q21,I want to partition my private property
Q21,internal
Q21,internal partition
Q21,is it illegal to create internal partition wall
Q21,may i know the internal partition is it illegal in residential building
Q21,partion in private property
Q21,partition is refer to permeant
Q21,partition my living room with cupboard
Q21,partition room
Q21,partition room private housing
Q21,partitioning for private properties
Q21,to build extra room in existing unit
Q21,to errect extra rooms in existing unit
Q21,what are the partition allow for private property
Q22,can i display a parking coupon on the container instead of applying for use of the parking lots
Q23,A contractor told be that it is not approved to build glass door in the balcony of the condo Please advise
Q23,All guidelines pertaining get balconies
Q23,am i allowed to build permanent windows for my balcony
Q23,are glass curtains allowed
Q23,are louvre doors allowed in balcony
Q23,Are we allowed to provide canopy over balcony
Q23,are we allowed to shift balcony barrier railing from balcony to plaster ledge
Q23,are zipped blinds allowed for balcony
Q23,Awning installation guidelines
Q23,balcony
Q23,Balcony enclosu
Q23,balcony enclosure
Q23,Balcony enclosure guidelines
Q23,balcony planter
Q23,balcony screen
Q23,balcony screening guide
Q23,balcony screening guidelines
Q23,balcony window
Q24,am i allowed to install collapsible screening at my balcony
Q24,blind with fabric materila can be installe in the balcony
Q24,Blinds
Q24,can i install a screen at my balcony
Q24,Can i install awning
Q24,can i install blinds at my balcony
Q24,Can I install blinds at my balcony?
Q24,can i install invisible grilles at my balcony
Q24,Can I install invisible grilles at my balcony?
Q24,can i install safety cables around my balcony
Q24,Can I install safety cables around my balcony?
Q24,can i install safety devices such as safety cables around my balcony
Q24,can i install screening at my balcony
Q24,can i install screening at my balcony landed property
Q24,Can I install screening at my balcony?
Q24,can i install screening at PES
Q24,can i install screenings at the balcony of my landed house
Q24,can i install screenings for my landed house
Q24,can louver be installed
Q25,How do I apply for intern
Q26,Can I make partial payment instead of full payment?
Q27,"Can I obtain official projections of market trends, i.e. prices, rentals, demand and supply?"
Q28,apply VPC at pioneer centre parking lot
Q28,apply VPC for existing parking lot
Q28,can i apply VPC at pioneer centre
Q28,can my office carpark apply for vpc
Q28,when do i need to apply for a new vehicle parking certificate vpc
Q29,Can I rent the gallery for events?
Q30,Can I start a parking session on behalf of another person
Q30,Can I start a parking session on the Parking.sg app on behalf of another person or for multiple vehicles?
Q31,Can I still make payment after the expiry of the reminder?
Q32,Can I submit more than one application with different minimum prices for one site at the same time?
Q33,Can I suspend my valid Season Parking Ticket for a few days?
Q33,can I temporary stop season parking for 2 weeks
Q33,how to temporarily suspend your SPT
Q33,Suspension
Q34,Can I transfer my Season Parking Ticket (SPT) to another place? What is the eligibility criteria?
Q34,Transfer of parking area
Q35,Apply for Transfer of Heavy Vehicle Season Parking Ticket to Another Vehicle
Q35,Bought new car how to inform to change the IU
Q35,Can I transfer my Season Parking Ticket (SPT) to another vehicle permanently? Clicked Permanent Transfer
Q35,car change name in season parking
Q35,car number is SLD4533P
Q35,change carpark number
Q35,change new car
Q35,change of vehicle no
Q35,change of vehicle number
Q35,change of vehicle number for season park
Q35,Change vehicle
Q35,change vehicle numbers
Q35,Changed car but keep license plate what do I need to do for my season parking
Q35,Hi i currently have season parking at guoco tower 1 Wallich Street However Ive just changed a car How do I continue my season parking Thanks
Q35,Hi JamieI have season parking with URAI just change my carhow to change the season parking to the new cartkns
Q35,How do I apply for permanent transfer of SPT?
Q35,How do I update my SPT records to my new vehicle?
Q35,how to apply change of usage in season parking
Q35,how to change heavy vehicle number spt
Q35,how to change heavy vehicle spt
Q35,How to change motorcycle number
Q35,How to change my season parking from my old car Mercedes E250 to my new car Mercedes GLC250 new IU will be 1128764180 by retaining theold vehicle number plate SE99P
Q35,how to change the usage of season parking
Q35,How to i change the vehicle number for season parking
Q35,How to inform for season parking that I have change the IU after I have changed my car
Q35,how to notify ura re change of car
Q35,I bought a new car which will bear my old car number plate
Q35,I buy new vehicle and retained the old vehicle no
Q35,I buy new vehicle but retained old vehicle plate
Q35,i change my car number for season parking
Q35,I have bought a new car I would like to transfer my season parking to the new car
Q35,I just bought a new vehicle. How do I transfer my SPT?
Q35,i just change my car how to change my season parking
Q35,I just need to fill in online with the new vehicle number and IU number and the transfer date
Q35,I need the IU record of my vehicle
Q35,i need to change d current heavy vehicle parking to another vehicle
Q35,i need to change my vehicle to permanently instead of temporAry due to vehicle scrap how should i go about doing it
Q35,I need to change the vehicle number for my SPT
Q35,if i change my vehicle what to do for my season parking
Q35,If my old vehicle is going to a new registration how can i inform URA about it when come to the season parking ticket
Q35,My company URA Season Parking in same location but need to change vehicle nos due to previous vehicle need to scrape Where should i updatethe new vehicle noumbers
Q35,My PC2406U is existing season holder but now Im changing a new van how is the processing
Q35,Once I change my IU can I immediate contact HDB to change for me
Q35,permanent transfer
Q35,permanent trasnfer
Q35,we buy a new vehicle but retained old vehicle no
Q35,what is i change my car number
Q36,Can I transfer my Vehicle Parking Certificate (VPC) from one vehicle to another?
Q37,Can I transfer the Season Parking Ticket (SPT) to another vehicle?
Q37,On this Sunday I will be collecting a new vehicle so I will do a permanent transfer of season parking ticket to another vehicle
Q37,permanent transfer of season parking application status
Q38,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily?
Q39,application for temporary commercial
Q39,application for temporary suspension of ura carpark
Q39,Application of temporary parking while waiting for season parking approval
Q39,can i apply temp pass
Q39,can i temporary change vehicle for season parking
Q39,can i use my parking for another car temporarily
Q39,Can I use my temporary car season car park to transfer to other carpark
Q39,can i use season ticket for another vehicle
Q39,Can i use the season parking for another vehicle temporarily
Q39,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer
Q39,Can I use the SPT for another vehicle temporarily?
Q39,CAN YOU assist me to Temporary Transfer of Season Parking Ticket
Q39,company vehicle Temporary Transfer of Season Parking Ticket
Q39,do temporary transfer of season parking as my vehicle is at the workshop
Q39,hi how do do i apply for temporary change of vehicle
Q39,Hi I am going overseas for 2 weeks can I temporary transfer season parking to my daughter staying near by
Q39,hi i need urgent request for change of temporary change vehicle due to bus breakdown
Q39,hi i will like to extend Application for Use of Season Parking Ticket by a Temporary Vehicle
Q39,Hi if my car broke down and i submit a transfer of season parking will it be an immediate effect
Q39,Hi Jamie I have problem of temporary transfer of season parking of this vehicle GBF9938E
Q39,how can i extend the temporary transfer of season parking
Q39,How come I applied for season parking for temporary use on another vehicle and was approved but then first day it was ok then second and thirdday I was being charged
Q39,How do i apply for temporary pass for 2weeks for a replacement vehicle as my current vehicle is in workshop for accident repair
Q39,How do I extend my temporary pass
Q39,How do I extend my temporary pass?
Q39,How do I prolong my temp pass?
Q39,How to apply for temporary transfer My car is in the workshop
Q39,How to apply temp pass?
Q39,how to apply temporary season parking
Q39,how to change season parking for 2 days as my car broke down
Q39,How to change the temporary season parking
Q39,How to check the status of temporary transfer of season parking
Q39,I am holding season parking coupon pc2155t to my vehicle going for painting work I need temporary coupon for cb5987z for 2 days 050750718 howto go about thank you
Q39,I am in the midst of changing car My current car already sold but my new car only arrive in mid january How can i temporarily stop the season formy old car
Q39,I just transfer my vehicle to another new vehicle But it takes 3 days to approve How can I apply for a temporary pass for this 3 days
Q39,i need to apply temporary season parking transfer for 2 days And it will effective form 11072019 Then the expiry date is it i put on 12072019
Q39,I need to extend my temp pass as my vehicle is still undergoing repair. How do I do it?
Q39,I need to extend temp pass. How do I do it?
Q39,I NEED TO TEMPORARY TRANSFER SEASON PARKING TO ANOTHER VEHICLE
Q39,I sent my car for repair with a compliment car would like to change my parking IU to the emporally car for few day what should I log in to
Q39,I want temporary parking coupon for 2 days cb5987z instead of pc 2155t thank you
Q39,i want to change vehicle temporary as my vehicle broke down
Q39,I WOULD LIKE TO TEMPORARY CHANGE CAR AS MY CAR BREAKDOWN
Q39,My bus PA946B PARK at Jalan Bahar currently at workshop can I park another bus PA3160G at Jalan Bahar for a period of 3 weeks
Q39,my car is at the workshop can i waive season parking charges
Q39,my car under ura season ticket now my car under workshop repair can i temporary withdraw my season ticket
Q39,my car was involve with accident and workshop is providing me a courtesy car for estimate 3days
Q39,My car will be sent to workshop for 1 week for repair Can I transfer my season to the temporary car
Q39,My new vehicle has not arrived. I need to extend my temp pass for my temporary vehicle. How do I go about it?
Q39,My vehicle is at the workshop. How do I use my SPT for another vehicle temporarily?
Q39,My vehicle is under repair/broke down. How do I transfer my SPT temporarily?
Q39,owner of sdw1066k my car at work shop and had bean transfer to sjm4758r for two day start from today just receive call from work shop my cat isready for collect
Q39,temperory change of vehicle
Q39,temporary
Q39,temporary season parking
Q39,temporary season parking ticket
Q39,temporary suspension
Q39,temporary transfer
Q39,Temporary transfer if season parking
Q39,Temporary Transfer of Season Parking
Q39,Temporary transfer of vehicle
Q39,temporary transfer season parking
Q39,Vehicle under repair
Q39,WE JUST APPLIED FOR TEMP TRF OF SEASON PARKING BUT THE NEW VEHICLE GOT PROBLEM HOW TO REPLACE IT WITH ANOTHERONE
Q39,why i cant resubmit temporary transfer of season parking application
Q40,Can the licensed developer commence sale before the opening of the show unit for viewing?
Q41,can you refund my vehicle parking certificate vpc
Q42,Can I renew my road tax immediately once I make payment for my Vehicle Parking Certificate (VPC)?
Q42,Can I renew my road tax immediately once I've paid my Vehicle Parking Certificate (VPC)?
Q42,Can I renew my road tax immediately once payment for Vehicle Parking Certificate (VPC) has been made?
Q42,Cannot renew road tax because of vpc
Q42,Car Parks - VPC - Problems
Q42,I paid my Vehicle Parking Certificate (VPC) today. Can I renew my road tax immediately?
Q42,I paid my Vehicle Parking Certificate VPC today Can I renew my road tax immediately
Q42,i want to know my vpc transaction
Q42,i want to know the status of my vpc application
Q42,vpc problem now
Q42,When can I renew my road tax after payment for Vehicle Parking Certificate (VPC) has been made?
Q43,Can I extend my temp pass?
Q43,Can I make partial payment instead of full payment
Q43,can i make partial payment instead of full payment for my parking offence notice
Q43,Can i put night coupon for parking at Tampines ave 10 heavy vehicle park
Q43,car park
Q43,Car parks
Q43,Car Parks Main
Q43,car parks now
Q43,CARPARK
Q43,CARPARK CODE
Q43,carpark conversion
Q43,Carpark name
Q43,Container
Q43,continued used of carpark
Q43,could not apply for parking lots
Q43,Digital parking app
Q43,digital parking system
Q44,Car Parks-Other Car Park Matters
Q44,Other car park
Q44,other car park matters now
Q44,what are other cp matters
Q45,Car Parks-Other Car Park Matters-Common Offences
Q45,common now
Q46,5 night coupon how many are there in per booket
Q46,Can I exchange for cash
Q46,can i get a refund for unused parking coupons
Q46,Can I get refund for expired parking coupon at HDB hougang branch
Q46,Can I redeem my unexpired parking coupon for cash
Q46,Can I return unused parking coupons for a refund
Q46,can we exchange parking coupon at petrol station
Q46,Car Parks-Other Car Park Matters-Exchange coupons
Q46,Car Parks-Others-Exchange Coupons
Q46,Exchange coupons
Q46,Exchange coupons now
Q46,exchange old coupons
Q46,exchange parking coupon
Q46,Exchanging coupon
Q46,Exchanging coupons
Q47,2
Q47,Any notification alerts in the app nearing expiry time?
Q47,Can I display a parking coupon on the container instead of applying for use of the parking lots
Q47,Can I display a parking coupon on the container instead of applying for use of the parking lots?
Q47,can i just display parking coupon on my container while loading or unloading
Q47,Can I just display parking coupon on my container while loading or unloading?
Q47,can i just use parking coupon to park my container
Q47,can i use parking coupon to park my container
Q47,Can I use parking coupon to park my container?
Q47,Can I use Parking.Sg to park my container?
Q47,can i use parkingsg to park my container
Q47,Can j display a parking coupon on the container
Q47,Car Parks-Other car park matters-Parking.sg
Q47,do i place parking coupons on my container while loading and unloading
Q48,Car Parks-Other car park matters-Parking.sg-Issues with Parking.sg
Q49,Car Parks-Other car park matters-Parking.sg-Parking.sg payment and billing
Q49,How to appeal duplicate parking billing
Q49,Using parking apps how I make payment
Q50,Car Parks-Other car park matters-Parking.sg-Using Parking.sg for parking
Q51,3
Q51,appeal to charge at court
Q51,Appealing my parking summon no972301194G vehicle noSKM1805B
Q51,apply yesterday but haven make the payment can i make the payment now
Q51,can i have an instalment plan for my parking fine
Q51,Can I have an instalment plan for my parking fine?
Q51,can i make partial payment instead of full payment
Q51,Can i make partial payment instead of full payment for my parking offence notice
Q51,Can I make partial payment instead of full payment?
Q51,can i make payment in instalments instead of full
Q51,Can I make payment in instalments instead of full?
Q51,can i pay in instalments for my parking offence
Q51,Can I pay in instalments for my parking offence?
Q51,Can I push forward my appointment date as I have a court date coming?
Q51,can i request to pay my notice partially
Q51,Can I request to pay my notice partially?
Q51,Can I still make payment after the due date?
Q51,Can i still make payment after the expiry of the payment due cate stated in the reminder
Q51,Can i still make payment after the expiry of the payment due date stated in the reminder
Q51,Can I still make payment after the expiry of the reminder?
Q51,can i still make payment after the expriy of the reminder
Q51,Can i still pay after the grace period
Q51,Can i still pay after the payment due date stated on the reminder notice
Q51,Can I still pay for the fine after the payment due date?
Q51,Can I still pay for the notice after the expiry date indicated in the reminder?
Q51,Can make partial paymeny
Q51,Can pay half of the parking offence fine?
Q51,Car park offences
Q51,car parks parking offences
Q51,car ParksParking Offences
Q51,Car Parks-Parking Offences
Q51,could not find any outstanding parking offence FOR MY VEHICLE
Q51,could not find any outstanding parking offence for the vehicle number
Q51,Court summons
Q51,Currently i m in overseas for my grandmother death cermony I came back this month 20th I pay this summon on 21st dec 2018
Q51,driver fine not paid
Q51,Due date on the reminder is over How to pay
Q51,fine reminder
Q51,fines for display tempered coupon
Q51,Hello I got an offence from URA at Q0007 location on 18th Sept Owing Im a Malaysian and I do not pay the offence before Im left Singapore
Q51,Hi Good morning My colleague received a letter saying that it was arrested YIP KOK CHOY
Q51,HI I received a letter saying there is an outstanding court summons for a parking fine this is the first letter I have received notifying me of a parkingfine being ov
Q51,hi if I need to pay a fine what mode of payment do you have
Q51,HI MY court number is URAcp002563 may I know this offence is for which vehicle
Q51,Hi my notice of parking offence already over the notice period how can i do to make the payment
Q51,How long is each appointment?
Q51,how to make payment after 7 days of the notice
Q51,how to refurnish ura summon
Q51,How will I be reminded of my appointment?
Q51,How will URA follow up once I made the appointment request?
Q51,I am still unable to make the payment
Q51,I am unable to make payment for the offence notice
Q51,i didnt receive your reply within the period of my appeal
Q51,I have a court date but the available appointment slot is after my court date. What should I do?
Q51,I have a court date coming soon. Can I request for an earlier appointment date?
Q51,I have a court fine but I am unsure
Q51,I have an outstanding parking fines with ura which im currently on bail Court date is on 2 september 2019can i leave to johor bahru for a day
Q51,I have been charged for the electronic parking fee 240 on 11082019 Why do I received a summon
Q51,i have paid the notice but i still received a reminder why is that so
Q51,I have paid the notice but I still received a reminder. Why is that so?
Q51,I missed my payment due date What can i do now
Q51,I missed the due date How to pay
Q51,I missed the due date on the reminder notice Can i still pay
Q51,"I missed the due date on the reminder, can I still make the payment?"
Q51,I missed the payment due date for my parking find How
Q51,i paid for my parking offence but i received a reminder why is that so
Q51,I paid for my parking offence but I received a reminder. Why is that so?
Q51,I paid my parking fine but i did not get a receipt
Q51,I paid the parking fine but i did not receive the receipt Please help
Q51,I send email on 27072019 regarding about parking offences committed on 24072019 I ask why NOPO not issue and put at my car windscreen asusual
Q51,I submitted my parking fine appeal pending for decision but the parking fine has to pay by today pls advise if there is any late payment if I dont payby today
Q51,I will be late for my appointment. Is it ok?
Q51,I will be late for my appointment. What should I do?
Q51,If I have missed the payment date can I still make late payment?
Q51,If i miss the payment date can i still pay
Q51,Is there a reminder for my appointment?
Q51,late payment of parking fines
Q51,late penalty
Q51,late penalty for paying fine late
Q51,make the payment now
Q51,My court date is coming soon Can i request for an earlier appointment date
Q51,My court date is coming soon. Can I request for an earlier appointment date?
Q51,My last date of payment is 18 April I could not pay earlier as I was away
Q51,notice of offence
Q51,overdue fine
Q51,overdue notice for already paid fine
Q51,parking fine
Q51,parking fine cannot pay
Q51,Parking notice overdue can i still pay
Q51,parking offence
Q51,parking offence notice pay
Q51,Parking offence reminder
Q51,parking offences now
Q51,parking ticket pay how much
Q51,pay abit for parking offence
Q51,pay abit parking fine
Q51,pay after due date
Q51,pay after reminder expired
Q51,pay all for parking offence
Q51,pay fine
Q51,pay fine later
Q51,regarding summons
Q51,reminder for fine payment
Q51,super late payment
Q51,The final car park fine notice was sent to me in Johor after the time limit
Q51,very late payment of fines
Q51,We could not find any outstanding parking offence
Q51,We could not find any outstanding parking offence for the vehicle number GBE8303Z as of 21Aug2018
Q51,we have already make payment for vehicle SLH5124J but still receive a reminder warning
Q51,What are the available appointment times?
Q51,What are the documents I need to bring for my appointment?
Q51,What are the documents required if i want to appeal for court cases
Q51,what can i expect after making my request for appointment with officers on the appeal for my parking court summons and warrants
