Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
non profit,Can I install screening at my balcony?,,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock
registered,General Info on Home Business,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock
mailing,General Information about URA,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock
complain,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:10,12/31/2019 11:04,1,Oh Kie Hock
lodge a complain against ura staff,General info on reporting infringements,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 15:11,12/31/2019 11:03,1,Oh Kie Hock
Hi my wife and I own a property If I want to take my name out from this property how should I go about doing it,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 14:31,12/31/2019 10:59,1,Oh Kie Hock
Not able to access the conservation portal,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 14:20,12/31/2019 10:58,1,Oh Kie Hock
HOW CAN I REQUEST A COPY OF GRANT OF WRITTEN PERMISSION,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/30/2019 14:56,12/31/2019 10:58,1,Oh Kie Hock
URA CONTACT NO,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 15:00,12/31/2019 10:58,1,Oh Kie Hock
how I cancel furnish driver detail because I had furnish the wrong driver detail,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,12/30/2019 15:35,12/31/2019 10:58,1,Oh Kie Hock
I want to complain against my developer,General info on reporting infringements,Top Match,General Info on Housing Developer,,No Feedback,12/30/2019 15:09,12/31/2019 10:56,1,Oh Kie Hock
Feedback developer,General Information about URA,,General Info on Housing Developer,,No Feedback,12/30/2019 15:10,12/31/2019 10:56,1,Oh Kie Hock
complain developer,General Info on Housing Developer,,General Info on Housing Developer,,No Feedback,12/30/2019 15:10,12/31/2019 10:56,1,Oh Kie Hock
how may I check approved use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/30/2019 15:54,12/31/2019 10:55,1,Oh Kie Hock
register tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 15:51,12/31/2019 10:51,1,Oh Kie Hock
How do i atttach a larger supporting file,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,12/30/2019 16:05,12/31/2019 10:46,1,Oh Kie Hock
i want to complain against a developer,General info on reporting infringements,Top Match,Catch all,,No Feedback,12/30/2019 16:18,12/31/2019 10:43,1,Oh Kie Hock
Could I install glass screen at my balcony,Can I install screening at my balcony?,Top Match,Can I install screening at my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 17:16,12/31/2019 10:42,1,Oh Kie Hock
Why glass screen is allowed in some condo,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 17:17,12/31/2019 10:42,1,Oh Kie Hock
How do we calculate gfa cost due to change of use,General info on change of use,Top Match,Catch all,,No Feedback,12/30/2019 16:33,12/31/2019 10:42,1,Oh Kie Hock
WHERE I HAVE REGISTER IF I LIVE IN A PRIVATE PROPERTY NOT UNDER HDB,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 17:51,12/31/2019 10:41,1,Oh Kie Hock
what is urad,General Information about URA,Top Match,Catch all,,No Feedback,12/30/2019 18:46,12/31/2019 10:41,1,Oh Kie Hock
How I can register a tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/30/2019 19:50,12/31/2019 10:41,1,Oh Kie Hock
edarad,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 18:48,12/31/2019 10:41,1,Oh Kie Hock
how to fill up land title declaration form,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 19:49,12/31/2019 10:41,1,Oh Kie Hock
how to fill land title declaration form DC12,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 19:50,12/31/2019 10:41,1,Oh Kie Hock
